Compte analytique,Pourcentage,Compte analytique,Pourcentage,Compte analytique,Pourcentage,Compte analytique,Pourcentage,Trigramme
ZZZZZTATE,100,,0,,0,,0,SEBT
ZZZZZTATE,100,,0,,0,,0,PCI
ZZZZZTATE,100,,0,,0,,0,JPD
ZZZZZTDIS,100,,0,,0,,0,CDG
ZZZZZTDIS,100,,0,,0,,0,LDE
ZZZZZTDIS,100,,0,,0,,0,RDA
ZZZZZTLIV,100,,0,,0,,0,OFE
ZZZZZTDIS,100,,0,,0,,0,AFY
ZZZZZTATE,100,,0,,0,,0,PGI
02E01STEC,100,,0,,0,,0,YJN
ZZZZZTLIV,100,,0,,0,,0,ANPN
ZZZZZTDIS,100,,0,,0,,0,ERR
ZZZZZTLIV,100,,0,,0,,0,CSA
ZZZZZTDIS,100,,0,,0,,0,BTE
03E04NADM,100,,0,,0,,0,FSL
02E03NCOM,100,,0,,0,,0,MAGT
03E04NCOM,100,,0,,0,,0,DGZ
03E04NCOM,100,,0,,0,,0,MCT
03E04NCOM,100,,0,,0,,0,LVA
02E01AAUD,25,03E04AAUD,25,04E06AAUD,25,06E09AAUD,25,BMR
06E09NCOM,100,,0,,0,,0,JCO
02E01STEC,100,,0,,0,,0,JCD
02E02NCOM,100,,0,,0,,0,MPN
02E10NCOM,100,,0,,0,,0,MACN
02E10NCOM,100,,0,,0,,0,DCR
ZZZZZTDIS,100,,0,,0,,0,FRBT
02E01NADM,100,,0,,0,,0,CEBT
04E08NCOM,100,,0,,0,,0,JCI
04E06NCOM,100,,0,,0,,0,TJN
02E10STEC,100,,0,,0,,0,CTE
02E10STEC,100,,0,,0,,0,PIMT
04E08STEC,100,,0,,0,,0,FHE
04E08STEC,100,,0,,0,,0,BFY
02E10STEC,100,,0,,0,,0,CCR
04E08NADM,100,,0,,0,,0,GPE
04E08STEC,100,,0,,0,,0,GZA
04E08NCOM,100,,0,,0,,0,CRA
04E08NCOM,100,,0,,0,,0,NRA
02E10NADM,100,,0,,0,,0,LFE
06E09NCOM,100,,0,,0,,0,GCL
06E09NCOM,100,,0,,0,,0,EBT
06E09NCOM,100,,0,,0,,0,DMN
06E09NCOM,100,,0,,0,,0,BSI
04E07NCOM,100,,0,,0,,0,SCS
02E10NCOM,100,,0,,0,,0,JDO
03E04NCOM,100,,0,,0,,0,CRI
06E09NCOM,100,,0,,0,,0,JEPD
06E09NCOM,100,,0,,0,,0,RDE
02E01NADM,100,,0,,0,,0,EDE
02E01NADM,100,,0,,0,,0,ADE
02E10NCOM,100,,0,,0,,0,BCR
03E04NCOM,100,,0,,0,,0,EBT
06E09NCOM,100,,0,,0,,0,EMA
02E01NADM,100,,0,,0,,0,JIZ
05INSTEC,100,,0,,0,,0,JVA
05INNCOM,100,,0,,0,,0,PJU
05INNADM,100,,0,,0,,0,SRE
05INNADM,100,,0,,0,,0,LMN
05INSTEC,100,,0,,0,,0,RML
05INSTEC,100,,0,,0,,0,DHR
05INSTEC,100,,0,,0,,0,LDX
05INSTEC,100,,0,,0,,0,GSR
05INSTEC,100,,0,,0,,0,WBN
05INSTEC,100,,0,,0,,0,VJY
05INNCOM,100,,0,,0,,0,DVO
05SASFOR,100,,0,,0,,0,MDS
05SANCOM,100,,0,,0,,0,CHGN
05SANADM,100,,0,,0,,0,CLR
05SASFOR,100,,0,,0,,0,KDB
05INSTEC,100,,0,,0,,0,NAE
05INNCOM,100,,0,,0,,0,EBN
05INNADM,100,,0,,0,,0,AMT
05INNCOM,100,,0,,0,,0,MWG
05INNCOM,100,,0,,0,,0,PBN
05SASFOR,100,,0,,0,,0,CGY
05INSTEC,100,,0,,0,,0,TVE
05SASFOR,100,,0,,0,,0,SAD
05INSTEC,100,,0,,0,,0,APR
05INNCOM,100,,0,,0,,0,
05INNCOM,100,,0,,0,,0,BLS
05SANCOM,100,,0,,0,,0,JBS
05INSTEC,100,,0,,0,,0,JAY
05INSTEC,100,,0,,0,,0,FLBL
05INSTEC,100,,0,,0,,0,PHFA
05INSADM,100,,0,,0,,0,BGT
05INSTEC,100,,0,,0,,0,FGN
05INSTEC,100,,0,,0,,0,HGT
05INNCOM,100,,0,,0,,0,JIO
05INNADM,100,,0,,0,,0,BLX
05INNADM,100,,0,,0,,0,NMX
05INSTEC,100,,0,,0,,0,CMF
05INSTEC,100,,0,,0,,0,ALMT
05INNADM,100,,0,,0,,0,YND
05INSTEC,100,,0,,0,,0,DOT
05INSTEC,100,,0,,0,,0,PPS
05INNADM,100,,0,,0,,0,IPL
05INSTEC,100,,0,,0,,0,JAR
05INSTEC,100,,0,,0,,0,NSN
05SANCOM,100,,0,,0,,0,ELCA
05INNCOM,57,05INSTEC,32,05SANCOM,5,05SASFOR,6,JLB
05INSTEC,100,,0,,0,,0,PDD
05INSTEC,100,,0,,0,,0,ATY
05INSTEC,100,,0,,0,,0,FST
05INSTEC,100,,0,,0,,0,YDN
05INSTEC,100,,0,,0,,0,TSR
05INSTEC,100,,0,,0,,0,EPX
05INSTEC,100,,0,,0,,0,GCQ
05INSTEC,100,,0,,0,,0,PAV
05INSTEC,100,,0,,0,,0,ACO
05INSTEC,100,,0,,0,,0,DALE
05SANCOM,100,,0,,0,,0,IMO
SG07,100,,0,,0,,0,PFE
SG01,100,,0,,0,,0,IFE
SG07,100,,0,,0,,0,FFT
SG07,100,,0,,0,,0,ELD
SG01,100,,0,,0,,0,CGN
SG01,100,,0,,0,,0,VAT
SG01,100,,0,,0,,0,NFR
SG07,100,,0,,0,,0,BBT
SG04,100,,0,,0,,0,VCX
SG01,100,,0,,0,,0,PEB
SG07,100,,0,,0,,0,AIZ
SG18,100,,0,,0,,0,DFI
SG01,100,,0,,0,,0,LHP
SG05,67,SG17,33,,0,,0,PRZ
SG05,100,,0,,0,,0,YLE
SG04,100,,0,,0,,0,FLBT
SG04,100,,0,,0,,0,FVT
SG01,100,,0,,0,,0,ATL
SG01,100,,0,,0,,0,ESE
SG03,100,,0,,0,,0,EEB
SG05,100,,0,,0,,0,CDE
SG06,100,,0,,0,,0,NMR
SG01,100,,0,,0,,0,MTT
SG07,100,,0,,0,,0,ECR
SG01,100,,0,,0,,0,MCO
SG01,100,,0,,0,,0,NASN
SG07,100,,0,,0,,0,RDX
SG05,50,SG17,50,,0,,0,RELE
SG04,100,,0,,0,,0,EGL
SG04,100,,0,,0,,0,JTT
SG01,100,,0,,0,,0,JSE
SG06,100,,0,,0,,0,SGA
SG01,100,,0,,0,,0,MVY
SG01,100,,0,,0,,0,ATN
SG01,100,,0,,0,,0,CMT
SG18,100,,0,,0,,0,ACE
SG04,100,,0,,0,,0,ALBT
10E01STEC,100,,,,,,,CYFE
10E01STEC,100,,,,,,,JPU
10E01STEC,100,,,,,,,EFE
10E01STEC,100,,,,,,,NIBY
10E01NCOM,100,,,,,,,YBN
10E01NCOM,100,,,,,,,HBX
10E01STEC,100,,,,,,,CLCY
10E01NADM,100,,,,,,,MDD
10E01NADM,100,,,,,,,SGL
10E01STEC,100,,,,,,,WJS
10E01NCOM,100,,,,,,,MLN
10E01NADM,100,,,,,,,APT
10E01NADM,100,,,,,,,PTE
10E01NCOM,100,,,,,,,LVR
10E01STEC,100,,,,,,,SZR
10E01NCOM,100,,,,,,,DPN
