ID;IDINTERVENTION;TEXT_INTERVENTIONMANUEL;IDSALARIE;Login;HEUREDEBUT;HEUREFIN;DATEDEBUT;DATEFIN;DEMIJOURDEBUT;DEMIJOURFIN;BHEURE;COMPLEMENT;TRANSFERE;CREATIONPOSTCLOTURE;IDJOURFERIE;ORIGINEINTRANET
31428;41;;736;BCR;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2013-06-17 00:00:00.000;2013-06-21 00:00:00.000;0;0;0;0;0;0;0;1
31351;41;;637;NASN;1899-12-30 13:55:00.000;1899-12-30 17:45:00.000;2013-06-05 00:00:00.000;2013-06-05 00:00:00.000;1;0;0;0;0;0;0;1
26628;41;;636;MCO;1899-12-30 00:00:00.000;1899-12-30 17:15:00.000;2012-08-11 00:00:00.000;2012-08-24 00:00:00.000;0;0;0;0;0;0;0;1
26637;41;;658;VRT;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-08-06 00:00:00.000;2012-08-24 00:00:00.000;0;0;0;0;0;0;0;1
28548;41;;673;SGA;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-12-24 00:00:00.000;2012-12-24 00:00:00.000;0;0;0;0;0;0;0;1
28550;41;;673;SGA;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-12-31 00:00:00.000;2012-12-31 00:00:00.000;0;0;0;0;0;0;0;1
28693;41;;666;MCT;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-12-31 00:00:00.000;2012-12-31 00:00:00.000;0;0;0;0;0;0;0;1
28694;41;;666;MCT;1899-12-30 13:55:00.000;1899-12-30 17:30:00.000;2012-12-27 00:00:00.000;2012-12-28 00:00:00.000;1;0;0;0;0;0;0;1
29472;41;;670;MPN;1899-12-30 13:55:00.000;1899-12-30 18:00:00.000;2013-02-06 00:00:00.000;2013-02-06 00:00:00.000;1;0;0;0;0;0;0;1
29907;41;;570;JEGI;1899-12-30 08:30:00.000;1899-12-30 12:05:00.000;2013-03-21 00:00:00.000;2013-03-25 00:00:00.000;0;1;0;0;0;0;0;1
29987;41;;584;PAFE;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2013-04-15 00:00:00.000;2013-04-24 00:00:00.000;0;0;0;0;0;0;0;1
