ID;IDINTERVENTION;TEXT_INTERVENTIONMANUEL;IDSALARIE;Login;HEUREDEBUT;HEUREFIN;DATEDEBUT;DATEFIN;DEMIJOURDEBUT;DEMIJOURFIN;BHEURE;COMPLEMENT;TRANSFERE;CREATIONPOSTCLOTURE;IDJOURFERIE;ORIGINEINTRANET
26231;40;;12;PMT;1899-12-30 13:55:00.000;1899-12-30 17:30:00.000;2012-06-22 00:00:00.000;2012-06-22 00:00:00.000;1;1;0;0;0;0;0;1
26218;40;;600;FCT;1899-12-30 08:30:00.000;1899-12-30 17:00:00.000;2012-06-22 00:00:00.000;2012-06-22 00:00:00.000;0;0;0;0;0;0;0;1
26206;40;;551;PHFA;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-06-25 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;1
26062;40;;63;BBT;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-06-25 00:00:00.000;2012-06-29 00:00:00.000;0;0;0;0;0;0;0;1
26272;40;;607;FST;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-06-25 00:00:00.000;2012-06-27 00:00:00.000;0;0;0;0;0;0;0;0
26129;40;;559;NMX;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-06-25 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;1
26018;40;;642;TSR;1899-12-30 08:30:00.000;1899-12-30 12:30:00.000;2012-06-25 00:00:00.000;2012-06-25 00:00:00.000;1;0;0;0;0;0;0;1
26226;40;;558;BLX;1899-12-30 08:00:00.000;1899-12-30 17:00:00.000;2012-06-27 00:00:00.000;2012-06-27 00:00:00.000;0;0;0;0;0;0;0;1
26193;40;;212;LDE;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-06-29 00:00:00.000;2012-06-29 00:00:00.000;0;0;0;0;0;0;0;24
26607;40;;84;CFI;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-06-29 00:00:00.000;2012-06-29 00:00:00.000;0;0;0;0;0;0;0;NULL
26323;40;;450;AGE;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-06-29 00:00:00.000;2012-06-29 00:00:00.000;0;0;0;0;0;0;0;1
25883;40;;420;JMB;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-06-29 00:00:00.000;2012-07-24 00:00:00.000;0;0;0;0;0;0;0;1
26003;40;;575;NSN;1899-12-30 08:30:00.000;1899-12-30 18:00:00.000;2012-07-02 00:00:00.000;2012-07-18 00:00:00.000;0;0;0;0;0;0;0;0
25863;40;;572;JAR;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-02 00:00:00.000;2012-07-06 00:00:00.000;0;0;0;0;0;0;0;1
25796;40;;607;FST;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-02 00:00:00.000;2012-07-06 00:00:00.000;0;0;0;0;0;0;0;0
26143;40;;84;CFI;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-02 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;1
25940;40;;269;MMR;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-02 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;1
26520;40;;22;CCN;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-04 00:00:00.000;2012-07-20 00:00:00.000;0;0;0;0;0;0;0;NULL
26409;40;;531;DRL;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-05 00:00:00.000;2012-07-06 00:00:00.000;0;0;0;0;0;0;0;1
26298;40;;8;VCE;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-06 00:00:00.000;2012-07-06 00:00:00.000;0;0;0;0;0;0;0;1
26343;40;;580;JLB;1899-12-30 13:55:00.000;1899-12-30 17:30:00.000;2012-07-06 00:00:00.000;2012-07-06 00:00:00.000;1;1;0;0;0;0;0;1
26058;40;;6;YCL;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-06 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;1
26061;40;;41;PFE;1899-12-30 08:15:00.000;1899-12-30 17:35:00.000;2012-07-09 00:00:00.000;2012-07-27 00:00:00.000;0;0;0;0;0;0;0;1
26212;40;;408;CGS;1899-12-30 08:30:00.000;1899-12-30 17:30:00.000;2012-07-09 00:00:00.000;2012-07-13 00:00:00.000;0;0;0;0;0;0;0;1
