numId;co2;libelle;marque;modele;;fk_proprietaire;fk_agence_utilisatrice;Modeleversioncommerciale;pf;Zone à créer;libéllé à mofifier;libéllé à mofifier;;libéllé à mofifier
Immatriculation;TVTS;Libelle;Marque;Modele;Agenceutilisatrice;Agenceproprietaire;Entiteutilisatrice;Modeleversioncommerciale;Puissance;Frais de gestion TTC ;MontantentretienTTC;LoyerTTC;CODE REFACTURATION;Montantassurance
BZ077FC;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO GROUPE;C'PRO INFORMATIQUE;CPRO GROUPE;AIR 1.5DCI 75;6;8,3;59,45;207,47;JUN;46,8575
BZ598PT;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;8,34;59,31;208,15;JUN;46,8575
BZ836FB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;C'PRO INFORMATIQUE;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;11,9;44,98;274,27;JUN;46,8575
CD139AW;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;11,9;45,33;273,92;JUN;46,8575
CC120QH;129;RENAULT KANGOO;RENAULT;KANGOO;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.5 DCI 90 CONFORT;5;10,26;55,32;322,18;TECH;46,8575
CB776PB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;11,9;45,33;273,92;JUN;46,8575
CE292QF;106;RENAULT MEGANE 3;RENAULT;MEGANE 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE 1.5 DCI 90 A;6;11,9;58,41;368,49;CDG;46,8575
CH899XW;109;PEUGEOT 308 BUSINESS;PEUGEOT;308 BUSINESS;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.6 E-HDI 112 ACTIVE;6;10,6;56,91;370,9;CDV;46,8575
CL317NJ;117;PEUGEOT 208 BUSINESS;PEUGEOT;208 BUSINESS;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;1.6 E-HDI 92 ACTIVE;5;8,96;51,46;301,22;MED;46,8575
8389VQ73;;RENAULT SCENIC;RENAULT;SCENIC;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;PACK AUTHENTIQUE 1.5;6;;;;DIR1;46,8575
CB221XT;132;VOLKSWAGEN GOLF 5;VOLKSWAGEN;GOLF 5;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;TREND 1.9 TDI 90;5;;;;IMMO 1;46,8575
862CWZ38;;PEUGEOT 307;PEUGEOT;307;CPRO VALENCE;C'PRO INFORMATIQUE;CPRO IMPRESSION;AFFAIRE 1.6 HDI 90 P;6;;;;IMMO 2;46,8575
BE545EP;;PEUGEOT PARTNER;PEUGEOT;PARTNER;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;120 L1 1.6 HDI 90 PA;6;;;;IMMO 1;46,8575
6448WK26;;RENAULT CLIO 2;RENAULT;CLIO 2;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR AUTHENTI;6;;;;JUN;46,8575
BK672YK;;RENAULT CLIO;RENAULT;CLIO;CPRO ALLIANCE;C'PRO INFORMATIQUE;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
324CLS38;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;PACK CLIM CONFORT 1.;6;;;;IMMO 2;46,8575
CA012XH;;PEUGEOT PARTNER;PEUGEOT;PARTNER;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;120 L1 1.6 HDI 75 PA;6;;;;IMMO 1;46,8575
8487VA73;;VOLKSWAGEN CADDY;VOLKSWAGEN;CADDY;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;LIFE SDI 70;5;;;;IMMO 2;46,8575
CV367NL;;MERCEDES SPRINTER;MERCEDES;SPRINTER;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;211 CDI 35 FCS;7;;;;IMMO 2;46,8575
CV829ED;;RENAULT MEGANE 3 ESTATE;RENAULT;MEGANE 3 ESTATE;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 110 AUTHENTI;6;11,9;60,1;442,95;CDG1;46,8575
6449WK26;;RENAULT CLIO 2;RENAULT;CLIO 2;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR AUTHENTI;6;;;;JUN;46,8575
BK333VB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
CF782JF;;MERCEDES SPRINTER;MERCEDES;SPRINTER;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;315 CDI 3.2T 37;7;;;1349,55444;LIV;46,8575
6430VW73;;RENAULT TRAFIC;RENAULT;TRAFIC;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;GENERIQUE L1H1 1.9DC;6;;;;;46,8575
BV860KS;;PEUGEOT 206 +;PEUGEOT;206 +;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;+ AFFAIRE 1.4 HDI ST;6;;;;;46,8575
CT267EJ;;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 EXTRA;5;10,26;58,97;335,23;TECH;46,8575
BA077SJ;155;CITROEN C5;CITROEN;C5;CPRO INFORMATIQUE;CPRO GROUPE;CPRO INFORMATIQUE;2.0 HDI 140 DYNAMIQU;7;;;;IMMO 1;46,8575
BK140VB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BJ172EF;;MERCEDES SPRINTER;MERCEDES;SPRINTER;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;316 CDI 3.5T 43;7;;;1305,18284;LIV;46,8575
321CLS38;;RENAULT TRAFIC;RENAULT;TRAFIC;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;GENERIQUE L1H1 1.9DC;6;;;;IMMO 2;46,8575
AJ349XJ;;PEUGEOT PARTNER;PEUGEOT;PARTNER;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;170C 1.6 HDI PACK CD;6;;;;IMMO 1;46,8575
AQ223TR;;PEUGEOT PARTNER;PEUGEOT;PARTNER;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;120 L1 1.6 HDI 75 PA;6;;;235,38;TECH;46,8575
AB659TX;;PEUGEOT BIPPER;PEUGEOT;BIPPER;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 PACK GPS;6;;;206,02;TECH;46,8575
CG212HW;;TOYOTA YARIS;TOYOTA;YARIS;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;;;;;46,8575
BA913MS;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;DYNAMIQUE 1.5DCI 105;6;;;294,50304;JUN;46,8575
BK621XP;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
CT423EH;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 EXTRA;5;10,26;58,97;335,23;TECH;46,8575
BK974XS;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BK757BB;134;PEUGEOT 5008;PEUGEOT;5008;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;1.6 HDI 112 PREMIUM;6;;;680,7;DIR1;46,8575
BK481VB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BK121PE;;CITROEN NEMO;CITROEN;NEMO;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.4 HDI 70 ECO;6;;;;IMMO 1;46,8575
CH807JF;119;PEUGEOT 508;PEUGEOT;508;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;2.0 HDI ACTIVE;7;;;682,88012;CDV1;46,8575
BC652GB;110;PEUGEOT 207;PEUGEOT;207;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;1.6 HDI 92 ENVY;5;;;277,77;MED;46,8575
515WT26;;VOLKSWAGEN CADDY;VOLKSWAGEN;CADDY;CPRO INFORMATIQUE;CPRO IMPRESSION;CPRO INFORMATIQUE;LIFE SDI 70;5;;;;IMMO 2;46,8575
BK267XT;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
AT406ZE;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;PRIVILEGE 1.5DCI 105;6;;;297,30168;JUN;46,8575
BK401YL;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BK537XP;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BX293VQ;132;AUDI A6;AUDI;A6;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;AVANT 2.0TDI AMBITIO;10;;;1083,21;DIR2;46,8575
CR094TZ;;MERCEDES SPRINTER;MERCEDES;SPRINTER;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;315 CDI 3.5T 43;7;;;;IMMO 2;46,8575
CT072DV;;FORD TRANSIT;FORD;TRANSIT;CPRO GROUPE;CPRO IMPRESSION;CPRO GROUPE;200C 1.8 TDCI 75 DRI;7;;;;IMMO 2;46,8575
AX373PW;110;PEUGEOT 207;PEUGEOT;207;CPRO INFORMATIQUE;CPRO GROUPE;CPRO INFORMATIQUE;1.6 HDI 92 ENVY;5;;;287,4;MED;46,8575
BC985AT;;CITROEN NEMO;CITROEN;NEMO;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;1.4 HDI 70 BUSINESS;6;;;260,44096;TECH;46,8575
BC330AV;;CITROEN NEMO;CITROEN;NEMO;CPRO PIXEL;CPRO GROUPE;CPRO IMPRESSION;1.4 HDI 70 BUSINESS;6;;;267,89204;TECH;46,8575
BP916EZ;130;PEUGEOT 508;PEUGEOT;508;CPRO ALLIANCE;CPRO GROUPE;CPRO IMPRESSION;SW 2.0 HDI ACTIVE;7;;;814,15;CDV1;46,8575
AP655QE;;MERCEDES SPRINTER;MERCEDES;SPRINTER;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;316 CDI 35 CC;9;;;;IMMO 1;46,8575
BJ090VQ;169;AUDI A5;AUDI;A5;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;2.7 TDI V6 190 S LIN;11;;;1300,66;DIR3;46,8575
CG934HZ;125;PEUGEOT 508;PEUGEOT;508;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;SW 2.0 HDI ACTIVE;7;;;690,37904;CDV1;46,8575
CM329LT;176;AUDI A6;AUDI;A6;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;3.0 V6 BITDI313 AVU;20;;;;IMMO 1;46,8575
CT381EJ;;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 EXTRA;5;10,26;58,97;335,23;TECH;46,8575
AW341ZF;120;PEUGEOT 308;PEUGEOT;308;CPRO PIXEL;CPRO GROUPE;CPRO IMPRESSION;1.6 HDI 110 PREMIUM;6;;;330,91;CDV;46,8575
CT336EH;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 EXTRA;5;10,26;58,97;335,23;TECH;46,8575
BK979ZC;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO GROUPE;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BG399RV;120;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BE542EP;153;PEUGEOT PARTNER;PEUGEOT;PARTNER;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;120 L1 1.6 HDI 90 PA;6;;;;IMMO 2;46,8575
BY477PY;125;PEUGEOT 508;PEUGEOT;508;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;SW 2.0 HDI ACTIVE;7;;;580,9;CDV1;46,8575
38AQC69;null;SMART FORFOUR;SMART;FORFOUR;CPRO INFORMATIQUE;CPRO IMPRESSION;CPRO INFORMATIQUE;1.1 BLACKBASIC;5;;;;IMMO 2;46,8575
BK301TD;135;PEUGEOT 3008;PEUGEOT;3008;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;1.6 HDI 16V 112 BUSI;6;;;672,25;DIR1;46,8575
AE933GD;169;AUDI A5;AUDI;A5;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;2.0 TFSI 180 AMBIENT;11;;;;IMMO 1;46,8575
BK240VB;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 7;6;;;;IMMO 1;46,8575
BA842MS;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO PIXEL;CPRO GROUPE;CPRO IMPRESSION;DYNAMIQUE 1.5DCI 105;6;;;290,78348;JUN;46,8575
BB726KV;115;RENAULT MEGANE 3 ESTATE;RENAULT;MEGANE 3 ESTATE;CPRO VALENCE;CPRO GROUPE;CPRO IMPRESSION;SOCIETE 1.5 DCI 85 A;6;;;363,14148;CDG1;46,8575
6432WC26;;RENAULT CLIO 2;RENAULT;CLIO 2;CPRO INFORMATIQUE;C'PRO INFORMATIQUE;CPRO INFORMATIQUE;SOCIETE AIR 1.5DCI 6;6;;;;IMMO 2;46,8575
CV938LA;100;PEUGEOT 308;PEUGEOT;308;CPRO PIXEL;CPRO IMPRESSION;CPRO IMPRESSION;1.6 E-HDI 115 STYLE;5;8,96;57,29;386,15;CDV;46,8575
CV943SP;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;TCE 120 GT EDC;6;11,9;50,15;312,25;JUN;46,8575
CV282VF;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;TCE 120 GT EDC;6;11,9;50,15;312,25;JUN;46,8575
CV508VF;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;TCE 120 GT EDC;6;11,9;50,15;312,25;JUN;46,8575
CV635SP;;RENAULT CLIO 4;RENAULT;CLIO 4;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;TCE 120 GT EDC;6;11,9;50,15;312,25;JUN;46,8575
BC695HA;;RENAULT MEGANE 3;RENAULT;MEGANE 3;CPRO PIXEL;CPRO GROUPE;CPRO IMPRESSION;SOCIETE 1.5 DCI 85 A;6;;;363,14148;CDG;46,8575
BM090NG;;PEUGEOT 508 SW;PEUGEOT;508 SW;CPRO INFORMATIQUE;CPRO GROUPE;CPRO INFORMATIQUE;SW 2.0 HDI ACTIVE;7;;;876,8474;CDV1;46,8575
CT232EH;;RENAULT KANGOO;RENAULT;KANGOO;CPRO VALENCE;CPRO IMPRESSION;CPRO IMPRESSION;1.5 DCI 90 EXTRA;5;10,26;58,97;335,23;TECH;46,8575
BM289SM;;RENAULT TRAFIC;RENAULT;TRAFIC;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;GENERIQUE L1H1 1.9DC;6;;;;;46,8575
AN608LF;115;RENAULT CLIO;RENAULT;CLIO;CPRO INFORMATIQUE;CPRO IMPRESSION;CPRO INFORMATIQUE;1.5DCI 7;4;0;57,71;363,72;JUN;46,8575
8693YS38;;RENAULT TRAFIC;RENAULT;TRAFIC;CPRO VDI;CPRO IMPRESSION;CPRO IMPRESSION;T1100 D;8;;;;IMMO 2;46,8575
BF112JC;110;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;C3;4;;;;JUN;46,8575
BC528ZW;110;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;C3;4;;;;JUN;46,8575
AX803YA;155;AUDI A4;AUDI;A4;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;A4 B8 AVANT BUSINESS LINE;7;;;;DIR2;46,8575
CG405CY;;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;C3;6;;;;JUN;46,8575
AM820DP;;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;C3;6;;;;JUN;46,8575
CK309XE;;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;C3;6;;;;JUN;46,8575
CL865LA;216;VOLKSWAGEN AMAROK;VOLKSWAGEN;AMAROK;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;AMAROK;7;;;;DIR3;46,8575
BH134ZE;;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;;;;;;IMMO 1;46,8575
AX880NB;;CITROEN C3;CITROEN;C3;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;C3 ENT X 14HDI;6;;;;JUN;46,8575
CX317JX;99;MINI COOPER;MINI;COOPER;CPRO GROUPE;CPRO GROUPE;CPRO GROUPE;COOPER D 110;5;;;;DIR1;46,8575
AH185SY;109;VOLKSWAGEN POLO;VOLKSWAGEN;POLO;CPRO VALENCE;CPRO TELECOM;CPRO IMPRESSION;POLO;5;;;;MED;46,8575
BY763RH;;CITROEN C3;CITROEN;C3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;club entreprise C3 hdi 70 FAP;6;;;;JUN;46,8575
CL581SJ;;MERCEDES VITO;MERCEDES;VITO;CPRO TELECOM;CPRO TELECOM;CPRO TELECOM;;;;;;IMMO 2;46,8575
CR604SP;;PEUGEOT 208;PEUGEOT;208;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;208 AFFAIRE 5P Pack Clim CD FAP B;6;;;;MED;46,8575
CR850ZF;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;Clio 3;6;;;;JUN;46,8575
CR263ZG;106;RENAULT CLIO 3;RENAULT;CLIO 3;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;Collection air CDI 75 ECO2;6;;;;JUN;46,8575
CR964ZF;;RENAULT KANGOO;RENAULT;KANGOO;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;Express serie SP ECTRA DCI 75ch;6;;;;TECH;46,8575
CR869TZ;;SUZUKI SWIFT;SUZUKI;SWIFT;CPRO ALLIANCE;CPRO IMPRESSION;CPRO IMPRESSION;SWIFT 1.3 3P;5;;;;JUN;46,8575
